Alu-001	chr22:17618704-17618704
Alu-067	chr4:79730766-79731081
Alu-068	chr4:88251177-88251493
Alu-069	chr14:70955950-70956266
Alu-070	chr6:135834562-135834878
Alu-071	chr4:89256711-89257028
Alu-072	chr1:8424453-8424771
Alu-073	chr16:66071306-66071624
Alu-074	chr7:120668352-120668670
Alu-075	chr5:40150770-40151088
Alu-076	chr5:109324988-109325306
Alu-077	chr21:37926229-37926548
Alu-078	chr5:619265-619585
Alu-079	chr1:101161139-101161459
Alu-080	chr7:98675473-98675794
Alu-081	chr14:54865480-54865802
Alu-081	chr14:54865605-54865606
Alu-081	chr14:54865605-54865615
Alu-081	chr14:54865606-54865624
Alu-081	chr14:54865610-54865651
Alu-082	chr4:86879779-86880101
Alu-083	chr17:77188122-77188445
Alu-084	chr8:52900514-52900837
Alu-085	chr3:192152491-192152814
Alu-086	chr7:157043412-157043736
Alu-087	chr1:88967962-88968288
Alu-088	chr17:65838784-65839110
Alu-089	chr11:77688808-77689135
Alu-090	chr13:77482530-77482859
Alu-091	chr2:229962114-229962444
Alu-092	chr7:66008602-66008932
Alu-093	chr5:88067768-88068098
Alu-094	chr5:64647101-64647432
Alu-095	chr1:220100766-220101098
Alu-096	chr1:65908303-65908635
Alu-097	chr12:20897975-20898307
Alu-098	chr6:13826320-13826653
Alu-099	chr5:4128702-4129036
Alu-100	chr1:148958059-148958393
Alu-101	chr2:21234491-21234826
Alu-102	chr14:97563989-97564324
Alu-103	chr8:128425695-128426037
Alu-104	chr7:33161708-33162050
Alu-105	chr10:96377573-96377574
Alu-106	chr9:21761254-21761255
Alu-107	chr3:197283978-197283979
Alu-108	chr1:76015863-76015864
Alu-109	chr8:128277230-128277231
Alu-110	chr6:160618233-160618234
Alu-111	chr13:71251580-71251581
Alu-112	chr14:87484246-87484247
Alu-113	chr5:157735635-157735636
Alu-114	chr4:155726040-155726041
Alu-115	chr1:148963269-148963270
Alu-116	chr1:88982136-88982137
Alu-117	chr22:22600446-22600447
Alu-118	chr2:191824829-191824830
Alu-119	chr6:38213258-38213259
Alu-121	chr6:160921529-160921530
Alu-122	chr5:131360586-131360587
Alu-123	chr11:72058836-72058837
Alu-124	chr3:114955208-114955209
Alu-125	chr14:60568144-60568145
Alu-126	chr6:135977199-135977200
Alu-127	chr1:107401341-107401342
Alu-128	chr2:48818970-48818971
Alu-129	chr6:31340030-31340031
Alu-130	chr5:40101382-40101383
Alu-131	chr5:40237184-40237185
Alu-132	chr11:65374865-65374866
Alu-133	chr13:98587478-98587479
Alu-134	chr4:103139399-103139400
Alu-135	chr5:173279665-173279666
Alu-136	chr6:112256467-112256468
Alu-137	chr15:73930545-73930546
Alu-138	chr1:203735372-203735373
Alu-139	chr4:74430354-74430355
Alu-140	chr15:47217783-47217784
Alu-141	chr6:118983707-118983708
Alu-142	chr3:166941744-166941745
Alu-143	chr3:166950720-166950721
Alu-144	chr3:167030371-167030372
Alu-145	chr13:101736539-101736540
Alu-146	chr5:109355045-109355046
Alu-147	chr5:109597917-109597918
Alu-148	chr22:39213271-39213272
Alu-149	chr8:82816378-82816379
Alu-150	chr12:48517786-48517787
Alu-151	chr5:88033369-88033370
Alu-152	chr5:88238152-88238153
Alu-153	chr2:231986065-231986066
Alu-154	chr12:37036038-37036039
Alu-155	chr12:37140816-37140817
Alu-156	chr17:54099567-54099568
Alu-157	chr4:9697758-9697759
Alu-158	chr1:118682301-118682302
Alu-159	chr4:56438589-56438590
Alu-160	chr20:57146826-57146836
Alu-161	chr10:61904981-61904991
Alu-162	chr1:67579747-67579757
Alu-163	chr12:113273128-113273138
Alu-164	chr7:98655455-98655465
Alu-165	chr2:45628787-45628797
Alu-166	chr1:8503400-8503410
Alu-167	chr1:195749918-195749928
Alu-168	chr8:109280095-109280105
Alu-169	chr7:148941461-148941471
Alu-170	chr2:203948855-203948865
Alu-171	chr15:68909138-68909148
Alu-172	chr4:147033272-147033282
Alu-173	chr1:89052319-89052329
Alu-174	chr17:65820711-65820721
Alu-175	chr2:68259119-68259129
Alu-176	chr8:36959221-36959231
Alu-177	chr17:56572107-56572117
Alu-178	chr11:30717508-30717518
Alu-179	chr17:43534960-43534970
Alu-180	chr6:108150086-108150096
Alu-181	chr10:30936106-30936116
Alu-182	chr11:58123175-58123185
Alu-183	chr1:167308361-167308371
Alu-184	chr1:203885192-203885202
Alu-185	chr6:6257888-6257898
Alu-186	chr11:4987378-4987388
Alu-187	chr4:171347257-171347267
Alu-188	chr6:44015072-44015082
Alu-189	chr5:109448732-109448742
Alu-190	chr10:22066098-22066108
Alu-191	chr17:519582-519592
Alu-192	chr16:19857310-19857320
Alu-193	chr12:87434697-87434707
Alu-194	chr5:109147258-109147512
Alu-195	chr14:67373618-67373876
Alu-196	chr11:85485957-85486216
Alu-197	chr15:72950592-72950856
Alu-198	chr1:21661908-21662175
Alu-199	chr11:30777162-30777430
Alu-200	chr2:20782090-20782360
Alu-201	chr8:86546488-86546761
Alu-202	chr4:106770106-106770381
Alu-203	chr7:98845833-98846109
Alu-204	chr3:46198519-46198799
Alu-205	chr6:117862468-117862751
Alu-206	chr5:33869269-33869553
Alu-207	chr20:3190265-3190551
Alu-208	chr5:23946179-23946465
Alu-209	chr12:37407718-37408007
Alu-210	chr13:41895533-41895826
Alu-211	chr4:9740962-9741256
Alu-212	chr3:37568763-37569058
Alu-213	chr3:124609140-124609436
Alu-214	chr4:149914105-149914401
Alu-215	chr1:195278290-195278586
Alu-216	chr11:4759112-4759408
Alu-217	chr2:42099106-42099404
Alu-218	chr2:62950930-62950931
Alu-219	chr14:29584186-29584196
Alu-220	chr10:115167151-115167161
Alu-221	chr3:166937896-166937906
Alu-222	chr6:11172145-11172161
Alu-223	chr19:21550315-21550332
Alu-224	chr10:81761815-81761833
Alu-225	chr5:172478464-172478491
Alu-226	chr11:48916124-48916158
Alu-227	chr11:214870-214905
Alu-228	chr1:51074363-51074409
Alu-229	chr11:30834042-30834093
Alu-230	chr11:35261118-35261173
Alu-231	chr8:134236822-134236878
Alu-232	chr3:166987520-166987579
Alu-233	chr20:31273085-31273147
Alu-234	chr7:98984589-98984655
Alu-235	chr11:48900673-48900742
Alu-236	chr9:96736479-96736548
Alu-237	chr5:34148967-34149041
Alu-238	chr10:35449197-35449272
Alu-239	chr2:20801588-20801670
Alu-240	chr19:21539312-21539399
Alu-241	chr7:99322848-99322858
Alu-242	chr15:72963654-72963664
Alu-243	chr6:28535359-28535369
Alu-244	chr1:88991970-88991980
Alu-245	chr13:52967487-52967497
Alu-246	chr10:81649435-81649445
Alu-247	chr10:63945618-63945633
Alu-248	chr16:73238191-73238286
Alu-249	chr20:5920515-5920624
Alu-250	chr1:72399405-72399516
Alu-251	chr3:87603133-87603247
Alu-252	chr11:48783540-48783663
Alu-253	chr6:25637864-25637990
Alu-254	chr19:21306013-21306145
Alu-255	chr1:89019672-89019807
Alu-256	chr6:28622316-28622452
Alu-257	chr10:59700666-59700805
Alu-258	chr5:40217321-40217461
Alu-259	chr14:67446766-67446909
Alu-260	chr6:118732711-118732855
Alu-261	chr15:41643705-41643850
Alu-262	chr22:38925728-38925889
Alu-263	chr6:28606768-28606933
Alu-264	chr15:63520470-63520648
Alu-265	chr17:63417950-63418130
Alu-266	chr17:35358875-35359095
Alu-267	chr5:176256493-176256691
Alu-268	chr1:92939973-92940323
Alu-269	chr10:25997118-25997468
Alu-270	chr1:111503055-111503407
Alu-271	chr12:28054371-28054728
Alu-272	chr12:38959137-38959495
Alu-273	chr4:72938487-72938845
Alu-274	chr2:217973137-217973499
Alu-275	chr6:95223480-95223845
Alu-276	chr1:72411451-72411816
Alu-277	chr2:100152091-100152469
Alu-278	chr5:109078736-109079118
Alu-279	chr8:33881030-33881416
Alu-280	chr12:39118846-39119248
Alu-281	chr14:22066535-22066982
Alu-282	chr5:93487653-93488102
Alu-283	chr12:120803752-120804236
Alu-284	chr10:35350102-35350607
Alu-285	chr7:98592543-98592544
Alu-286	chr1:116892795-116892796
Alu-287	chr2:27515987-27515988
Alu-288	chr5:131300191-131300192
Alu-289	chr16:15023696-15023697
Alu-290	chr8:33817134-33817135
Alu-291	chr14:60493159-60493160
Alu-292	chr6:11135535-11135536
Alu-293	chr1:159107234-159107235
Alu-294	chr6:152839723-152839724
Alu-295	chr10:22239473-22239474
Alu-296	chr16:19817226-19817227
Alu-297	chr15:73161868-73161869
Alu-298	chr15:41644272-41644278
Alu-299	chr17:43521908-43521918
Alu-300	chr10:115215808-115215818
Alu-301	chr1:51085030-51085045
Alu-302	chr10:42962302-42962416
Alu-303	chr10:115218001-115218117
Alu-304	chr6:82842326-82842571
Alu-305	chr10:35459167-35459434
Alu-306	chr20:3196022-3196298
Alu-307	chr2:159867060-159867346
Alu-308	chr1:65851742-65852035
Alu-309	chr10:45394771-45395070
Alu-310	chr6:139883807-139884149
Alu-311	chr11:47763062-47763410
Alu-312	chr20:3323606-3323954
Alu-313	chr12:64493326-64493618
Alu-314	chr14:53485731-53485732
Alu-315	chr16:52181915-52181925
Alu-316	chr19:54581293-54581617
Alu-317	chr2:24253181-24253182
Alu-318	chr2:43668045-43668046
Alu-319	chr2:179433527-179433537
Alu-320	chr2:242044087-242044097
Alu-321	chr3:45743355-45743680
Alu-322	chr3:45784470-45784471
Alu-323	chr3:52684877-52685212
Alu-324	chr6:28401309-28401319
Alu-325	chr7:120758782-120758783
Alu-326	chr16:52240570-52240571
Alu-327	chr16:88572818-88572819
Alu-328	chr20:33085324-33085647
Alu-329	chr20:33244628-33244629
Alu-330	chr4:9561408-9561638
Alu-331	chr17:43565447-43565678
Alu-332	chr17:22302322-22302443
Alu-333	chr17:22321506-22321507
Alu-334	chr17:22292805-22292806
Alu-335	chr17:22169561-22169622
Alu-336	chr17:22288563-22288724
Alu-337	chr17:22289556-22289756
Alu-338	chr17:22291557-22291858
Alu-339	chr4:918201-918211
Alu-340	chr15:38493151-38493156
Alu-341	chr18:51090895-51090896
Alu-342	chr16:70682532-70682820
Alu-343	chr9:5096598-5096599
Alu-344	chr9:5093299-5093300
Alu-345	chr7:77305153-77305163
Alu-346	chr2:233112078-233112079
Alu-347	chr6:24599415-24599416
Alu-348	chr14:67429979-67429989
Alu-349	chr9:70927860-70927942
Alu-350	chr5:158649566-158649953
Alu-351	chr4:112917745-112918086
Alu-353	chr11:88548457-88548795
Alu-354	chr11:14456405-14456603
Alu-355	chr1:168869892-168870202
Alu-356	chr2:224822205-224822508
Alu-357	chr1:167426658-167426975
Alu-358	chr1:167605492-167605821
Alu-359	chr18:45168806-45169153
Alu-360	chr6:44003319-44003656
Alu-361	chr3:157961563-157961564
Alu-362	chr12:110326381-110326382
Alu-363	chr2:231987866-231988188
Alu-364	chr9:96750397-96750730
Alu-365	chr12:9794318-9794328
Alu-366	chr4:56391539-56391540
Alu-367	chr8:128188631-128188996
Alu-368	chr2:173024837-173025166
Alu-369	chr1:202822261-202822346
Alu-370	chr14:102098032-102098273
Alu-371	chr12:105646074-105646357
Alu-372	chr1:227026388-227026748
Alu-373	chr11:118629457-118629581
Alu-374	chr2:160084351-160084781
Alu-375	chr3:129858766-129859239
Alu-376	chr3:129877881-129877917
Alu-377	chr3:129336486-129336487
Alu-378	chr3:129525768-129525769
Alu-379	chr6:117837407-117837408
Alu-380	chr6:117875552-117875562
Alu-381	chr12:69928469-69928470
Alu-382	chr12:69940792-69940793
Alu-383	chr1:156978671-156978977
Alu-384	chr2:85652964-85652974
Alu-385	chr2:85626139-85626489
Alu-386	chr1:156896012-156896323
Alu-387	chr2:24998953-24998954
Alu-388	chr2:21144083-21144093
Alu-389	chr6:118828515-118828516
Alu-390	chr7:21590902-21591234
Alu-391	chr1:195152863-195152898
Alu-392	chr17:42530745-42530805
Alu-393	chr17:42568816-42568923
Alu-394	chr17:42567801-42568006
Alu-395	chr2:159848249-159848520
Alu-396	chr14:35712535-35712545
Alu-396	chr14:35712538-35712539
Alu-396	chr14:35712547-35712547
Alu-397	chr14:68065132-68065206
Alu-398	chr4:109317889-109317899
Alu-399	chr1:194970510-194970511
Alu-400	chr1:170276377-170276655
Alu-401	chr1:113996336-113996337
Alu-402	chr1:114186965-114187255
Alu-403	chr1:114213046-114213056
Alu-404	chr1:150305863-150305864
Alu-405	chr1:154177342-154177574
Alu-406	chr1:158733945-158733946
Alu-407	chr1:195027974-195027975
Alu-409	chr1:201924614-201924615
Alu-410	chr1:202861192-202861193
Alu-411	chr1:195045493-195046122
Alu-412	chr1:217827644-217827654
Alu-413	chr1:220885815-220885816
Alu-414	chr1:225792657-225792658
Alu-415	chr1:225958112-225958245
Alu-416	chr1:41503399-41503409
Alu-417	chr1:56000838-56000848
Alu-418	chr1:62916188-62916198
Alu-419	chr1:62924417-62924746
Alu-420	chr1:93131499-93131500
Alu-421	chr1:93146002-93146003
Alu-422	chr10:104664956-104664966
Alu-423	chr10:104798335-104798345
Alu-424	chr10:69664706-69665053
Alu-425	chr10:8763373-8763383
Alu-426	chr10:96084555-96084556
Alu-427	chr10:96601009-96601019
Alu-428	chr10:96651632-96651642
Alu-429	chr11:103940312-103940399
Alu-430	chr11:111517658-111517659
Alu-431	chr11:116326776-116326777
Alu-432	chr11:118598607-118598607
Alu-433	chr11:251128-251138
Alu-434	chr11:47407657-47407667
Alu-435	chr11:48747294-48747432
Alu-436	chr11:48755235-48755359
Alu-437	chr11:48770383-48770441
Alu-438	chr11:48889613-48889726
Alu-438	chr11:48889685-48889695
Alu-439	chr11:48904927-48905038
Alu-440	chr11:85371125-85371195
Alu-441	chr11:88568758-88568809
Alu-442	chr12:108372019-108372029
Alu-443	chr12:108414368-108414654
Alu-444	chr12:110928480-110928481
Alu-445	chr12:111261329-111261642
Alu-446	chr12:21249775-21249834
Alu-448	chr12:28042713-28042714
Alu-449	chr12:28308432-28308775
Alu-450	chr12:28329712-28330065
Alu-451	chr12:28401773-28401774
Alu-452	chr12:28431411-28431723
Alu-453	chr12:52021306-52021307
Alu-454	chr12:56060836-56060837
Alu-455	chr12:64528155-64528167
Alu-456	chr12:87365731-87366067
Alu-457	chr12:92515552-92515553
Alu-458	chr12:9762285-9762620
Alu-459	chr14:59925238-59925405
Alu-460	chr14:60054471-60054472
Alu-461	chr14:65186832-65186833
Alu-462	chr1:11988858-11988859
Alu-463	chr1:189743906-189744282
Alu-464	chr1:189803389-189803390
Alu-465	chr1:189835326-189835648
Alu-466	chr1:189847186-189847571
Alu-467	chr1:189870744-189870754
Alu-468	chr1:195047534-195047544
Alu-469	chr1:200462475-200462476
Alu-470	chr1:210032310-210032311
Alu-471	chr1:216907599-216907895
Alu-472	chr1:217116250-217116260
Alu-473	chr1:246580045-246580336
Alu-474	chr1:31520497-31520498
Alu-475	chr1:31524491-31524492
Alu-476	chr1:31559149-31559150
Alu-477	chr1:44076396-44076491
Alu-478	chr1:44116301-44116302
Alu-479	chr1:44126080-44126090
Alu-480	chr1:78013257-78013267
Alu-481	chr1:95324510-95324771
Alu-482	chr10:101837743-101837753
Alu-483	chr10:101841828-101841838
Alu-484	chr10:58853214-58853523
Alu-485	chr10:61088019-61088029
Alu-486	chr10:63413620-63413798
Alu-487	chr11:111356926-111357102
Alu-488	chr11:111701656-111701657
Alu-489	chr11:116351053-116351367
Alu-490	chr11:128960571-128960791
Alu-491	chr11:14304901-14305202
Alu-492	chr11:41778857-41779183
Alu-493	chr11:43806472-43806598
Alu-494	chr11:43833997-43834050
Alu-495	chr11:45940816-45940826
Alu-496	chr11:45992825-45993158
Alu-497	chr11:48076637-48076946
Alu-498	chr11:48785002-48785078
Alu-499	chr11:49322770-49322773
Alu-500	chr11:49381674-49381992
Alu-501	chr11:49612351-49612489
Alu-502	chr11:57805969-57805970
Alu-503	chr11:58219021-58219323
Alu-504	chr11:67952827-67953035
Alu-505	chr11:67973443-67973650
Alu-506	chr11:88188747-88189383
Alu-507	chr11:90531700-90531740
Alu-508	chr11:95662677-95662678
Alu-509	chr12:111409991-111409992
Alu-510	chr12:111557590-111557870
Alu-511	chr12:111562550-111562785
Alu-512	chr12:112167494-112167813
Alu-513	chr12:39877989-39877999
Alu-514	chr12:39946099-39946400
Alu-515	chr12:416835-417128
Alu-516	chr12:55332992-55332993
Alu-517	chr12:55355573-55355574
Alu-518	chr13:35555137-35555170
Alu-519	chr14:100235667-100235976
Alu-520	chr14:94806029-94806030
Alu-521	chr14:94818377-94818378
Alu-522	chr15:26036114-26036115
Alu-523	chr15:38502201-38502202
Alu-524	chr15:46527492-46527832
Alu-525	chr15:47396881-47396882
Alu-526	chr15:51728206-51728388
Alu-527	chr15:60094897-60095062
Alu-528	chr15:60105406-60105756
Alu-529	chr15:60138344-60138411
Alu-530	chr15:71770229-71770559
Alu-531	chr15:73654365-73654668
Alu-532	chr15:75548468-75548777
Alu-533	chr15:75606470-75606530
Alu-534	chr16:10993733-10994064
Alu-535	chr16:11331322-11331557
Alu-536	chr16:11909820-11910145
Alu-537	chr16:54149612-54149622
Alu-538	chr16:56657145-56657146
Alu-539	chr16:65811178-65811482
Alu-540	chr16:68305275-68305285
Alu-541	chr16:68329815-68329850
Alu-542	chr16:68383371-68383378
Alu-543	chr17:27342394-27342554
Alu-544	chr17:27362135-27362427
Alu-545	chr17:40921807-40922113
Alu-546	chr17:41005380-41005683
Alu-547	chr17:41015122-41015123
Alu-548	chr17:42825713-42825714
Alu-549	chr17:42890378-42890672
Alu-550	chr17:42979568-42979569
Alu-551	chr17:44727601-44727771
Alu-552	chr17:50471088-50471090
Alu-553	chr17:56347652-56347881
Alu-554	chr17:58919468-58919805
Alu-556	chr17:59085280-59085570
Alu-557	chr17:59099076-59099142
Alu-558	chr17:7390485-7390486
Alu-559	chr17:75971002-75971293
Alu-560	chr18:12841197-12841511
Alu-561	chr18:17501002-17501184
Alu-562	chr18:22588342-22588486
Alu-563	chr18:22792011-22792021
Alu-564	chr18:31953437-31953741
Alu-565	chr18:45072715-45072960
Alu-566	chr18:48706251-48706252
Alu-567	chr19:19315338-19315348
Alu-568	chr19:50866993-50867251
Alu-569	chr2:112432888-112433207
Alu-570	chr2:112519999-112520301
Alu-571	chr2:134242977-134243276
Alu-572	chr2:134260762-134261076
Alu-573	chr2:134284901-134284911
Alu-574	chr2:148335942-148335952
Alu-575	chr2:148366396-148366703
Alu-576	chr2:149841389-149841708
Alu-577	chr2:156785357-156785580
Alu-578	chr2:159718353-159718649
Alu-579	chr2:159815856-159815866
Alu-580	chr2:167846298-167846299
Alu-581	chr2:187831353-187831363
Alu-582	chr2:187894414-187894424
Alu-583	chr2:187923963-187924270
Alu-584	chr2:192267659-192267976
Alu-585	chr2:192270433-192270768
Alu-586	chr2:198120066-198120075
Alu-587	chr2:198238516-198238526
Alu-588	chr2:198469738-198470021
Alu-589	chr2:198471566-198471707
Alu-590	chr2:203426045-203426337
Alu-591	chr2:204413314-204413315
Alu-592	chr2:230825726-230825727
Alu-593	chr2:232086726-232086975
Alu-594	chr2:239074110-239074436
Alu-595	chr2:241128846-241128847
Alu-596	chr2:242010944-242010945
Alu-597	chr2:25081124-25081439
Alu-598	chr2:34497153-34497441
Alu-599	chr2:43475925-43476258
Alu-600	chr2:43512487-43512798
Alu-601	chr2:43933589-43933599
Alu-602	chr2:46782282-46782664
Alu-603	chr2:54178470-54178693
Alu-604	chr2:54526957-54527287
Alu-605	chr2:55937047-55937347
Alu-606	chr2:55954454-55954725
Alu-608	chr2:62310603-62310930
Alu-609	chr2:642481-642804
Alu-610	chr2:73534859-73534869
Alu-611	chr2:73577021-73577329
Alu-612	chr2:81607124-81607420
Alu-613	chr2:86777959-86777960
Alu-614	chr2:86837821-86837831
Alu-615	chr2:99803502-99803778
Alu-616	chr20:31543900-31543910
Alu-617	chr20:31798801-31799110
Alu-618	chr20:32009856-32009866
Alu-619	chr20:32868552-32868766
Alu-620	chr20:33265384-33265394
Alu-621	chr20:33412263-33412588
Alu-622	chr20:37734924-37735255
Alu-623	chr20:37771062-37771183
Alu-624	chr20:48013280-48013281
Alu-625	chr20:50577619-50577620
Alu-627	chr21:34215916-34215926
Alu-628	chr21:34227738-34228034
Alu-629	chr21:38415625-38415626
Alu-630	chr22:27507349-27507637
Alu-631	chr21:38512413-38512742
Alu-632	chr3:120728971-120728972
Alu-633	chr21:38727393-38727403
Alu-635	chr21:38822216-38822540
Alu-636	chr3:137342990-137343235
Alu-637	chr22:20262661-20262662
Alu-638	chr3:137721928-137721929
Alu-639	chr3:142006988-142007296
Alu-640	chr3:142243184-142243472
Alu-641	chr3:142295830-142295831
Alu-642	chr3:142409175-142409185
Alu-643	chr3:142680388-142680398
Alu-644	chr3:159572529-159572539
Alu-645	chr3:159599612-159599938
Alu-646	chr3:159706065-159706369
Alu-647	chr3:166986303-166986618
Alu-648	chr3:167660719-167660720
Alu-649	chr3:170627492-170627849
Alu-650	chr3:170751294-170751573
Alu-651	chr3:171006881-171007124
Alu-652	chr3:171608187-171608188
Alu-653	chr3:189137872-189137882
Alu-654	chr3:190049828-190049829
Alu-656	chr3:24323577-24323923
Alu-657	chr3:27331947-27332158
Alu-658	chr3:39551048-39551348
Alu-659	chr3:41979101-41979102
Alu-660	chr3:49469292-49469609
Alu-661	chr3:49926077-49926087
Alu-662	chr3:49954111-49954224
Alu-663	chr3:50037883-50038043
Alu-664	chr3:50060299-50060300
Alu-665	chr3:67432221-67432412
Alu-666	chr3:72537654-72537655
Alu-667	chr3:89566797-89567039
Alu-668	chr3:89806473-89806526
Alu-669	chr4:100595689-100596013
Alu-670	chr4:10331304-10331570
Alu-671	chr5:54990705-54990948
Alu-672	chr5:74689721-74689722
Alu-673A	chr4:111602671-111602981
Alu-674	chr4:123763832-123763842
Alu-675	chr6:105328659-105328957
Alu-676	chr6:109747637-109747647
Alu-676	chr6:109966821-109966876
Alu-677	chr4:185888491-185888796
Alu-678	chr6:117853741-117853742
Alu-679	chr4:6343342-6343343
Alu-680	chr6:121496772-121496782
Alu-681	chr6:121656054-121656064
Alu-682	chr4:95717996-95718303
Alu-683	chr6:121790222-121790519
Alu-684	chr6:122203475-122203476
Alu-685	chr6:126913077-126913102
Alu-686	chr6:127730909-127731190
Alu-687	chr6:136408608-136408736
Alu-688	chr6:138048011-138048012
Alu-689	chr6:26005979-26006279
Alu-690	chr5:148897478-148897729
Alu-691	chr6:27348142-27348450
Alu-692	chr5:164615207-164615254
Alu-692A	chr6:27605886-27606193
Alu-693	chr5:171116611-171116621
Alu-693A	chr6:27607162-27607172
Alu-694	chr5:176284023-176284024
Alu-694A	chr6:27782749-27782943
Alu-695	chr5:179661624-179661634
Alu-695A	chr6:27845899-27846160
Alu-696	chr5:32798319-32798329
Alu-696A	chr6:27993373-27993689
Alu-697	chr6:28183846-28183856
Alu-698	chr6:28222746-28223057
Alu-699	chr6:28298187-28298511
Alu-700	chr6:31358205-31358206
Alu-701	chr6:31404753-31404790
Alu-702	chr6:31411814-31412117
Alu-703	chr6:31546860-31547190
Alu-704	chr6:31574207-31574522
Alu-705	chr6:31926390-31926465
Alu-706	chr6:32562615-32562973
Alu-708	chr6:32578047-32616602
Alu-709	chr6:32587927-32588183
Alu-710	chr6:32589309-32589310
Alu-711	chr6:32593725-32593735
Alu-712	chr6:32599538-32599707
Alu-713	chr6:32611927-32611998
Alu-714	chr6:32616560-32616770
Alu-715	chr6:32628047-32628253
Alu-716	chr6:32629170-32629315
Alu-717	chr6:32645002-32645019
Alu-718	chr6:32647874-32647884
Alu-719	chr6:32652488-32652746
Alu-720	chr6:32654094-32654248
Alu-721	chr6:32656151-32656399
Alu-722	chr6:32660809-32661132
Alu-723	chr6:32679308-32679595
Alu-724	chr6:32722925-32723286
Alu-725	chr6:32739594-32739715
Alu-726	chr6:32749425-32749426
Alu-727	chr6:32765789-32766104
Alu-728	chr6:32857208-32857519
Alu-729	chr6:32881367-32881489
Alu-730	chr6:34449097-34449107
Alu-731	chr6:34461337-34461338
Alu-732	chr6:34513203-34513486
Alu-733	chr6:32697628-32697905
Alu-734	chr6:34782682-34782683
Alu-735	chr6:35011847-35011921
Alu-736	chr6:35850770-35850780
Alu-737	chr6:41657065-41657066
Alu-738	chr6:44906484-44906773
Alu-739	chr6:45105784-45105794
Alu-740	chr6:45146829-45147012
Alu-741	chr6:45225658-45225672
Alu-742	chr6:45262819-45262829
Alu-743	chr6:45368380-45368646
Alu-744	chr6:71305203-71305342
Alu-745	chr6:7662366-7662701
Alu-746	chr6:81864827-81864828
Alu-747	chr6:81890877-81890878
Alu-748	chr6:97124260-97124562
Alu-749	chr6:9568379-9568700
Alu-750	chr7:116702016-116702026
Alu-751	chr7:135005816-135006114
Alu-752	chr7:135008705-135008715
Alu-753	chr7:26721371-26721650
Alu-754	chr7:26730181-26730191
Alu-755	chr7:2795296-2795627
Alu-756	chr7:37965042-37965347
Alu-757	chr7:38082707-38082717
Alu-758	chr7:50440646-50440934
Alu-759	chr7:67864434-67864444
Alu-760	chr7:72579719-72579784
Alu-761	chr7:80106118-80106128
Alu-762	chr8:10676878-10676879
Alu-763	chr8:11064125-11064132
Alu-764	chr8:15592796-15593086
Alu-765	chr8:15594198-15594208
Alu-766	chr8:17248359-17248662
Alu-767	chr8:23547287-23547606
Alu-768	chr8:26271565-26271575
Alu-769	chr8:42691387-42691708
Alu-770	chr8:42705067-42705395
Alu-771	chr8:74175527-74175899
Alu-772	chr8:78257722-78257723
Alu-773	chr8:78298837-78298838
Alu-774	chr8:90738890-90739250
Alu-775	chr8:98339983-98339984
